Mudule,Item Format 3,item_num
RC1,1,9.0
RC2,1,7.0
RC3,1,7.0
RC4,1,9.0
RC5,1,7.0
RC6,1,9.0
RC7,1,8.0
RC8,1,8.0
R11H,1,11.0
R11L,1,9.0
R12H,1,9.0
R12L,1,9.0
R13H,1,9.0
R13L,1,9.0
R14H,1,10.0
R14L,1,8.0
R15H,1,10.0
R15L,1,9.0
R16H,1,9.0
R16L,1,10.0
R17H,1,10.0
R17L,1,10.0
R18H,1,8.0
R18L,1,8.0
R21H,1,11.0
R21L,1,7.0
R22H,1,7.0
R22L,1,10.0
R23H,1,11.0
R23L,1,10.0
R24H,1,10.0
R24L,1,6.0
R25H,1,10.0
R25L,1,7.0
R26H,1,7.0
R26L,1,12.0
R27H,1,10.0
R27L,1,6.0
R28H,1,6.0
R28L,1,8.0
RC1,total,10.0
RC2,total,8.0
RC3,total,7.0
RC4,total,10.0
RC5,total,8.0
RC6,total,9.0
RC7,total,9.0
RC8,total,10.0
R11H,total,15.0
R11L,total,13.0
R12H,total,14.0
R12L,total,15.0
R13H,total,14.0
R13L,total,14.0
R14H,total,15.0
R14L,total,15.0
R15H,total,15.0
R15L,total,15.0
R16H,total,16.0
R16L,total,16.0
R17H,total,15.0
R17L,total,15.0
R18H,total,12.0
R18L,total,13.0
R21H,total,14.0
R21L,total,12.0
R22H,total,12.0
R22L,total,14.0
R23H,total,14.0
R23L,total,12.0
R24H,total,12.0
R24L,total,13.0
R25H,total,14.0
R25L,total,14.0
R26H,total,13.0
R26L,total,14.0
R27H,total,14.0
R27L,total,13.0
R28H,total,14.0
R28L,total,13.0
