,,,Assess quality and credibility,Corroborate and handle conflict,Integrate and generate inferences,Reflect on content and form,Represent literal meaning,Scan and locate,Search and select relevant text
RC1,R11H,R21H,,4,14,5,9,5,2
RC1,R11H,R21L,,2,17,5,8,4,1
RC1,R11L,R22H,,2,17,8,4,4,
RC1,R11L,R22L,,1,14,7,4,5,6
RC1,R15H,R21H,1,7,8,7,7,8,1
RC1,R15H,R21L,1,5,11,7,6,7,
RC1,R15L,R22H,2,3,12,6,7,6,1
RC1,R15L,R22L,2,2,9,5,7,7,7
RC2,R12H,R23H,1,3,8,10,9,2,3
RC2,R12H,R23L,1,2,9,9,9,3,1
RC2,R12L,R24H,,,10,10,11,4,
RC2,R12L,R24L,,,11,7,7,7,4
RC2,R16H,R23H,,1,8,11,8,5,5
RC2,R16H,R23L,,,9,10,8,6,3
RC2,R16L,R24H,1,,7,9,12,5,2
RC2,R16L,R24L,1,,8,6,8,8,6
RC3,R13H,R25H,2,8,6,6,8,4,1
RC3,R13H,R25L,1,4,8,6,10,3,3
RC3,R13L,R26H,,2,12,6,8,3,3
RC3,R13L,R26L,,,14,5,12,1,3
RC3,R17H,R25H,2,7,7,5,10,3,2
RC3,R17H,R25L,1,3,9,5,12,2,4
RC3,R17L,R26H,1,2,4,8,10,5,5
RC3,R17L,R26L,1,,6,7,14,3,5
RC4,R14H,R27H,1,4,16,6,7,3,2
RC4,R14H,R27L,2,4,15,5,7,4,1
RC4,R14L,R28H,4,4,16,3,10,1,1
RC4,R14L,R28L,2,2,17,2,11,3,1
RC4,R18H,R27H,1,4,13,6,4,4,4
RC4,R18H,R27L,2,4,12,5,4,5,3
RC4,R18L,R28H,2,3,16,8,8,,
RC4,R18L,R28L,,1,17,7,9,2,
RC5,R11H,R21H,,3,14,4,10,4,2
RC5,R11H,R21L,,1,17,4,9,3,1
RC5,R11L,R22H,,1,17,7,5,3,
RC5,R11L,R22L,,,14,6,5,4,6
RC5,R15H,R21H,1,6,8,6,8,7,1
RC5,R15H,R21L,1,4,11,6,7,6,
RC5,R15L,R22H,2,2,12,5,8,5,1
RC5,R15L,R22L,2,1,9,4,8,6,7
RC6,R12H,R23H,1,4,11,7,9,1,4
RC6,R12H,R23L,1,3,12,6,9,2,2
RC6,R12L,R24H,,1,13,7,11,3,1
RC6,R12L,R24L,,1,14,4,7,6,5
RC6,R16H,R23H,,2,11,8,8,4,6
RC6,R16H,R23L,,1,12,7,8,5,4
RC6,R16L,R24H,1,1,10,6,12,4,3
RC6,R16L,R24L,1,1,11,3,8,7,7
RC7,R13H,R25H,2,8,6,6,9,5,1
RC7,R13H,R25L,1,4,8,6,11,4,3
RC7,R13L,R26H,,2,12,6,9,4,3
RC7,R13L,R26L,,,14,5,13,2,3
RC7,R17H,R25H,2,7,7,5,11,4,2
RC7,R17H,R25L,1,3,9,5,13,3,4
RC7,R17L,R26H,1,2,4,8,11,6,5
RC7,R17L,R26L,1,,6,7,15,4,5
RC8,R14H,R27H,1,3,13,7,9,4,2
RC8,R14H,R27L,2,3,12,6,9,5,1
RC8,R14L,R28H,4,3,13,4,12,2,1
RC8,R14L,R28L,2,1,14,3,13,4,1
RC8,R18H,R27H,1,3,10,7,6,5,4
RC8,R18H,R27L,2,3,9,6,6,6,3
RC8,R18L,R28H,2,2,13,9,10,1,
RC8,R18L,R28L,,,14,8,11,3,
