,,,Continuous,Mixed,Non-continuous
RC1,R11H,R21H,27,7,5
RC1,R11H,R21L,21,11,5
RC1,R11L,R22H,19,16,
RC1,R11L,R22L,14,23,
RC1,R15H,R21H,27,9,3
RC1,R15H,R21L,21,13,3
RC1,R15L,R22H,25,6,6
RC1,R15L,R22L,20,13,6
RC2,R12H,R23H,28,,8
RC2,R12H,R23L,28,,6
RC2,R12L,R24H,29,,6
RC2,R12L,R24L,20,7,9
RC2,R16H,R23H,27,7,4
RC2,R16H,R23L,27,7,2
RC2,R16L,R24H,25,5,6
RC2,R16L,R24L,16,12,9
RC3,R13H,R25H,26,6,3
RC3,R13H,R25L,22,7,6
RC3,R13L,R26H,21,7,6
RC3,R13L,R26L,20,12,3
RC3,R17H,R25H,31,1,4
RC3,R17H,R25L,27,2,7
RC3,R17L,R26H,23,2,10
RC3,R17L,R26L,22,7,7
RC4,R14H,R27H,31,6,2
RC4,R14H,R27L,24,13,1
RC4,R14L,R28H,28,8,3
RC4,R14L,R28L,28,5,5
RC4,R18H,R27H,23,8,5
RC4,R18H,R27L,16,15,4
RC4,R18L,R28H,28,8,1
RC4,R18L,R28L,28,5,3
RC5,R11H,R21H,25,5,7
RC5,R11H,R21L,19,9,7
RC5,R11L,R22H,17,14,2
RC5,R11L,R22L,12,21,2
RC5,R15H,R21H,25,7,5
RC5,R15H,R21L,19,11,5
RC5,R15L,R22H,23,4,8
RC5,R15L,R22L,18,11,8
RC6,R12H,R23H,28,2,7
RC6,R12H,R23L,28,2,5
RC6,R12L,R24H,29,2,5
RC6,R12L,R24L,20,9,8
RC6,R16H,R23H,27,9,3
RC6,R16H,R23L,27,9,1
RC6,R16L,R24H,25,7,5
RC6,R16L,R24L,16,14,8
RC7,R13H,R25H,30,6,1
RC7,R13H,R25L,26,7,4
RC7,R13L,R26H,25,7,4
RC7,R13L,R26L,24,12,1
RC7,R17H,R25H,35,1,2
RC7,R17H,R25L,31,2,5
RC7,R17L,R26H,27,2,8
RC7,R17L,R26L,26,7,5
RC8,R14H,R27H,33,4,2
RC8,R14H,R27L,26,11,1
RC8,R14L,R28H,30,6,3
RC8,R14L,R28L,30,3,5
RC8,R18H,R27H,25,6,5
RC8,R18H,R27L,18,13,4
RC8,R18L,R28H,30,6,1
RC8,R18L,R28L,30,3,3
