Panal,Module,Item_Format,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60
assignPanal1,Core_Stage,1,0.39,0.45199999999999996,0.5229999999999999,0.6040000000000001,0.698,0.805,0.926,1.063,1.218,1.392,1.583,1.795,2.027,2.276,2.545,2.829,3.129,3.436,3.75,4.061,4.359999999999999,4.635,4.873,5.058,5.177,5.22,5.183,5.0680000000000005,4.885,4.646,4.366,4.062,3.745,3.425,3.113,2.8129999999999997,2.529,2.265,2.02,1.795,1.5899999999999999,1.405,1.238,1.088,0.9550000000000001,0.837,0.732,0.639,0.5569999999999999,0.486,0.423,0.368,0.32,0.278,0.242,0.21,0.183,0.159,0.138,0.12,0.10400000000000001
assignPanal1,Core_Stage,total,0.467,0.537,0.618,0.71,0.815,0.9349999999999999,1.07,1.222,1.393,1.583,1.795,2.027,2.282,2.557,2.8499999999999996,3.163,3.4909999999999997,3.8320000000000003,4.178,4.523,4.858,5.17,5.445,5.6690000000000005,5.824999999999999,5.906,5.9030000000000005,5.821,5.668,5.452999999999999,5.192,4.899,4.587,4.266,3.944,3.6260000000000003,3.318,3.0220000000000002,2.74,2.474,2.226,1.995,1.783,1.588,1.409,1.248,1.103,0.972,0.855,0.751,0.659,0.5780000000000001,0.505,0.442,0.386,0.33799999999999997,0.295,0.257,0.224,0.196,0.17099999999999999
assignPanal1,Stage_1H,1,0.271,0.313,0.362,0.416,0.48,0.553,0.637,0.734,0.844,0.971,1.1139999999999999,1.277,1.463,1.6720000000000002,1.909,2.173,2.468,2.795,3.153,3.5439999999999996,3.963,4.406000000000001,4.867,5.3340000000000005,5.792,6.228,6.622,6.958,7.22,7.398,7.487,7.4830000000000005,7.3919999999999995,7.219,6.973000000000001,6.666,6.31,5.916,5.495,5.061999999999999,4.6240000000000006,4.193,3.775,3.3770000000000002,3.002,2.656,2.3369999999999997,2.049,1.79,1.558,1.353,1.1720000000000002,1.0150000000000001,0.876,0.756,0.651,0.5609999999999999,0.484,0.415,0.358,0.30800000000000005
assignPanal1,Stage_1H,total,0.315,0.364,0.42100000000000004,0.486,0.562,0.649,0.75,0.865,0.997,1.151,1.325,1.524,1.75,2.008,2.3,2.627,2.9939999999999998,3.4050000000000002,3.8579999999999997,4.3549999999999995,4.8950000000000005,5.471,6.078,6.705,7.334,7.949999999999999,8.529,9.054,9.503,9.86,10.114,10.257,10.287,10.21,10.031,9.76,9.411,8.997,8.531,8.028,7.4990000000000006,6.9559999999999995,6.409,5.867,5.337,4.8260000000000005,4.338,3.878,3.4490000000000003,3.051,2.6879999999999997,2.358,2.0620000000000003,1.796,1.56,1.351,1.168,1.009,0.868,0.748,0.642
assignPanal1,Stage_1L,1,0.756,0.9039999999999999,1.081,1.291,1.539,1.831,2.17,2.5599999999999996,3.0,3.4909999999999997,4.028,4.604,5.207,5.824999999999999,6.443,7.047,7.6240000000000006,8.155999999999999,8.629999999999999,9.020999999999999,9.308,9.466,9.475,9.329,9.036,8.621,8.117,7.561,6.985,6.413,5.861,5.339,4.851,4.399,3.982,3.597,3.242,2.916,2.616,2.341,2.089,1.8599999999999999,1.65,1.4609999999999999,1.291,1.137,1.0010000000000001,0.879,0.7709999999999999,0.675,0.591,0.517,0.45199999999999996,0.395,0.34500000000000003,0.303,0.265,0.23199999999999998,0.203,0.178,0.156
assignPanal1,Stage_1L,total,0.796,0.9550000000000001,1.144,1.37,1.638,1.9529999999999998,2.321,2.748,3.235,3.7830000000000004,4.389,5.05,5.758,6.5,7.27,8.056000000000001,8.844000000000001,9.626000000000001,10.383,11.096,11.736,12.272,12.677,12.929,13.018999999999998,12.949000000000002,12.732,12.38,11.91,11.331,10.66,9.914,9.117,8.292,7.466,6.659000000000001,5.892,5.178,4.524,3.934,3.408,2.9450000000000003,2.5380000000000003,2.184,1.877,1.612,1.383,1.186,1.018,0.874,0.7509999999999999,0.6439999999999999,0.554,0.478,0.412,0.355,0.306,0.266,0.22999999999999998,0.2,0.174
assignPanal1,Stage_2H,1,0.184,0.20400000000000001,0.22499999999999998,0.251,0.278,0.309,0.344,0.383,0.42600000000000005,0.475,0.529,0.589,0.6559999999999999,0.7290000000000001,0.8089999999999999,0.895,0.988,1.087,1.193,1.3010000000000002,1.4129999999999998,1.5270000000000001,1.6400000000000001,1.753,1.8610000000000002,1.9669999999999999,2.069,2.1639999999999997,2.2560000000000002,2.3440000000000003,2.4290000000000003,2.511,2.59,2.668,2.7430000000000003,2.813,2.879,2.936,2.981,3.0140000000000002,3.0300000000000002,3.025,3.0,2.951,2.877,2.781,2.664,2.527,2.378,2.217,2.051,1.8840000000000001,1.7200000000000002,1.5610000000000002,1.411,1.27,1.139,1.02,0.911,0.814,0.726
assignPanal1,Stage_2H,total,0.239,0.265,0.294,0.326,0.363,0.404,0.44999999999999996,0.501,0.5579999999999999,0.622,0.694,0.774,0.863,0.962,1.072,1.192,1.3250000000000002,1.4689999999999999,1.627,1.7970000000000002,1.982,2.181,2.395,2.626,2.8760000000000003,3.1479999999999997,3.443,3.766,4.116,4.494,4.893,5.302,5.703,6.074,6.388,6.616,6.741,6.752,6.651,6.449999999999999,6.172000000000001,5.838,5.471,5.09,4.707,4.332,3.971,3.625,3.2969999999999997,2.988,2.699,2.43,2.182,1.953,1.745,1.556,1.386,1.2349999999999999,1.099,0.978,0.87
assignPanal1,Stage_2L,1,0.338,0.40700000000000003,0.491,0.593,0.718,0.871,1.055,1.2810000000000001,1.5510000000000002,1.876,2.262,2.714,3.236,3.828,4.482,5.182,5.9030000000000005,6.611,7.255,7.785,8.152,8.318,8.273,8.027000000000001,7.616,7.087,6.492,5.873,5.268,4.697,4.176,3.71,3.301,2.9459999999999997,2.6390000000000002,2.3739999999999997,2.144,1.9460000000000002,1.7730000000000001,1.62,1.484,1.363,1.252,1.15,1.057,0.97,0.889,0.8130000000000001,0.742,0.6759999999999999,0.614,0.5569999999999999,0.504,0.455,0.41,0.368,0.32999999999999996,0.29600000000000004,0.265,0.236,0.21000000000000002
assignPanal1,Stage_2L,total,0.41100000000000003,0.494,0.595,0.717,0.867,1.048,1.267,1.5339999999999998,1.855,2.238,2.695,3.23,3.851,4.5600000000000005,5.351000000000001,6.212999999999999,7.122,8.045,8.937,9.748,10.428,10.938,11.262,11.401,11.382,11.234,10.991,10.674,10.302,9.879999999999999,9.411999999999999,8.902000000000001,8.354,7.777,7.1819999999999995,6.584,5.997,5.43,4.895,4.397,3.939,3.524,3.149,2.8120000000000003,2.51,2.241,1.999,1.7850000000000001,1.592,1.42,1.2650000000000001,1.1269999999999998,1.0030000000000001,0.892,0.792,0.7030000000000001,0.623,0.552,0.489,0.43300000000000005,0.382
